And 16 9640 5447 5447 4436 4436 3881 3881 5434 5434 7607 5447 3092 3092 2912 2912 5447 2912 116631 116631 116805 116805 116584 116631 113726 3092 677 3092 3031 3031 3693 3693 4463
Ant 2  53502 51172 51172 46515
Aps 3  72370 81065 81065 81852 81852 80047
Aqr 17 115438 115033 115033 114341 115033 114724 114724 112961 112961 112716 112716 113136 113136 115033 112961 110003 110003 109074 109074 110672 110672 110960 110395 110960 110395 109074 111497 110960 109074 106278 106278 102618 106278 109139
Aql 12 98036 97649 97649 97278 97278 95501 95501 93747 93747 93244 93747 93805 93805 93429 93805 95501 99473 97804 97804 95501 99473 96468 96468 93805
Ara 7  88714 85792 85792 83153 83153 83081 83081 82363 82363 85727 85727 85267 85258 85792
Ari 3  13209 9884 9884 8903 8903 8832
Aur 11 25428 28380 28380 28360 28360 28358 28358 24608 24608 28360 24608 23416 23416 23453 23453 23767 23767 24608 23767 23015 23015 25428
Boo 13 69673 72105 72105 74666 74666 73555 73555 71075 71075 71053 71053 69673 69673 71795 69673 67927 67927 67275 71075 69732 69732 69483 69483 70497 70497 69732
Cae 3  21060 21770 21770 21861 21861 23595
Cam 7  16228 17884 17884 17959 17959 22783 22783 23522 23522 23040 22783 29997 29997 33694
Cnc 4  44066 42911 42911 40526 42911 42806 42806 43103
CVn 1  63121 61317
CMa 11 33160 34045 34045 33347 33347 33160 33347 32349 32349 30324 30324 31592 31592 33152 33152 33579 33579 34444 34444 32349 34444 35904
CMi 1  37279 36188
Cap 9  104139 100064 100064 100325 100345 102485 102485 102978 102978 105881 105881 106723 106723 107556 107556 106985 106985 104139
Car 14 45238 50099 50099 52370 52370 54301 54301 54751 54751 54463 54463 53253 53253 51576 51576 52370 51576 50371 50371 45556 45556 41037 41037 38827 45556 42913 45238 30438
Cas 4  8886 6686 6686 4427 4427 3179 3179 746
Cen 23 71681 68702 68702 66657 66657 68002 68002 67472 67472 67464 67464 68933 68933 70090 70090 68862 68862 68245 68245 68282 68282 68002 68245 71352 71352 73334 67464 65936 65936 65109 65109 61789 68002 61932 61932 66657 61932 60823 60823 59449 59449 56243 60823 59173 59173 56480
Cep 11 105199 107259 107259 109857 109857 109492 109492 110991 110991 112724 112724 116727 116727 106032 106032 105199 105199 102422 102422 101093 112724 106032
Cet 14 1562 3419 3419 8102 8102 8645 8645 6537 6537 5364 5364 1562 8645 10826 10826 12387 12387 12706 12706 14135 14135 13954 13954 12828 12828 11484 11484 12706
Cha 5  51839 58484 58484 60000 60000 52633 52633 51839 51839 40702
Cir 2  75323 71908 71908 74824
